Marca temporal,¿Qué tan claro lo encontró?,Qué tan complicado lo encontró?,¿Qué nota le pondría a la nueva forma de votar?,¿Dentro de qué rango está su edad?,Observado por encuestador/a: Sexo de persona encuestada,
15/12/2019 10:54:20,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 10:54:31,Muy claro,Poco complicado,7,Entre 21 y 30,Mujer,
15/12/2019 10:55:30,Muy claro,Nada complicado,6,Entre 51 y 60,Hombre,
15/12/2019 10:55:31,Muy claro,Nada complicado,7,Entre 15 y 20 años,Hombre,
15/12/2019 10:55:36,Muy claro,Nada complicado,7,Entre 41 y 50,Hombre,
15/12/2019 10:56:10,Muy claro,Poco complicado,5,Entre 51 y 60,Hombre,
15/12/2019 10:56:35,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 10:56:36,Muy claro,Nada complicado,7,Entre 41 y 50,Hombre,
15/12/2019 10:56:56,Muy claro,Nada complicado,7,Entre 61 y 70,Hombre,
15/12/2019 10:57:17,Muy claro,Nada complicado,7,Entre 31 y 40,Hombre,
15/12/2019 10:57:52,Muy claro,Nada complicado,6,Entre 61 y 70,Mujer,
15/12/2019 10:58:06,Muy claro,Poco complicado,5,Entre 21 y 30,Hombre,
15/12/2019 10:58:10,Muy claro,Nada complicado,7,Entre 31 y 40,Hombre,
15/12/2019 10:58:22,Muy claro,Nada complicado,6,Entre 61 y 70,Hombre,
15/12/2019 10:58:32,Muy claro,Nada complicado,6,Entre 21 y 30,Hombre,
15/12/2019 10:59:15,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 10:59:23,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 10:59:44,Muy claro,Nada complicado,7,Entre 31 y 40,Hombre,
15/12/2019 11:00:06,Muy claro,Nada complicado,6,Entre 61 y 70,Mujer,
15/12/2019 11:00:14,Poco claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 11:00:20,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 11:00:39,Muy claro,Nada complicado,7,Entre 41 y 50,Hombre,
15/12/2019 11:00:44,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 11:01:28,Poco claro,Poco complicado,5,Entre 31 y 40,Hombre,
15/12/2019 11:01:38,Muy claro,Nada complicado,7,Entre 51 y 60,Hombre,
15/12/2019 11:01:51,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 11:02:32,Muy claro,Nada complicado,6,Entre 61 y 70,Mujer,
15/12/2019 11:02:46,Muy claro,Muy complicado,7,71 o más,Mujer,
15/12/2019 11:03:11,Muy claro,Poco complicado,5,Entre 21 y 30,Mujer,
15/12/2019 11:03:19,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 11:03:45,Muy claro,Nada complicado,7,71 o más,Hombre,
15/12/2019 11:03:48,Muy claro,Nada complicado,7,Entre 61 y 70,Hombre,
15/12/2019 11:04:15,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 11:05:03,Muy claro,Nada complicado,7,Entre 61 y 70,Hombre,
15/12/2019 11:05:34,Muy claro,Nada complicado,6,71 o más,Mujer,
15/12/2019 11:06:26,Muy claro,Poco complicado,6,Entre 15 y 20 años,Hombre,
15/12/2019 11:06:32,Muy claro,Muy complicado,4,Entre 31 y 40,Mujer,
15/12/2019 11:07:32,Muy claro,Nada complicado,7,71 o más,Hombre,
15/12/2019 11:07:38,Muy claro,Nada complicado,4,Entre 61 y 70,Hombre,
15/12/2019 11:08:03,Muy claro,Nada complicado,7,Entre 41 y 50,Hombre,
15/12/2019 11:08:10,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 11:08:28,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 11:08:51,Muy claro,Poco complicado,7,Entre 41 y 50,Mujer,
