Timestamp,Local,"Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Acceso y calidad de la educación pública]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Acceso y calidad de la vivienda]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Ampliar el acceso al agua]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Cuidado del medio ambiente y recursos naturales]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Deuda universitaria (CAE y otros)]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Mejorar la calidad de la salud pública y su financiamiento]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Mejorar las pensiones y dignificar la vida de los adultos mayores]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Reducir costos de los servicios básicos (agua, electricidad, etc.)]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Reducir la desigualdad de ingresos]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Reducir la impunidad y la delincuencia]","Considerando la situación actual del país, ¿qué tan importantes son las siguientes demandas sociales? [Transporte público (calidad, acceso y precio)]"
16/12/2019 20:09:29,Bulnes,Extremadamente imp.,Muy imp.,Muy imp.,Extremadamente imp.,,Extremadamente imp.,Extremadamente imp.,Muy imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.
16/12/2019 20:09:36,Bulnes,Extremadamente imp.,Imp.,Imp.,Muy imp.,Muy imp.,Extremadamente imp.,Muy imp.,Imp.,Extremadamente imp.,Muy imp.,Muy imp.
16/12/2019 20:09:46,Bulnes,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.
16/12/2019 20:09:50,Bulnes,Extremadamente imp.,Extremadamente imp.,Imp.,Muy imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Imp.,Muy imp.,Extremadamente imp.,Muy imp.
16/12/2019 20:10:08,Bulnes,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,,Muy imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Muy imp.,Muy imp.
16/12/2019 20:10:09,Bulnes,Extremadamente imp.,Muy imp.,Imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,,Poco imp.,Extremadamente imp.
16/12/2019 20:10:16,Bulnes,Extremadamente imp.,Extremadamente imp.,Muy imp.,Imp.,Extremadamente imp.,Muy imp.,Extremadamente imp.,Imp.,Extremadamente imp.,Extremadamente imp.,Imp.
16/12/2019 20:10:24,Bulnes,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.
16/12/2019 20:10:32,Bulnes,Extremadamente imp.,Extremadamente imp.,Muy imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.
16/12/2019 20:10:43,Bulnes,Muy imp.,Muy imp.,Muy imp.,Imp.,Muy imp.,Muy imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Extremadamente imp.,Muy imp.
